month,region,data_type,values
2020-06-28,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.3
2020-07-28,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.6
2020-08-28,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.9
2020-09-28,City of Moonee Valley,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.6
2020-03-28,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,3.8
2020-04-28,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,6.6
2020-05-28,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.3
2020-06-28,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.2
2020-07-28,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.5
2020-08-28,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9
2020-09-28,Greater Melbourne,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.7
2020-03-28,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,4.4
2020-04-28,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,7.2
2020-05-28,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.9
2020-06-28,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,8.8
2020-07-28,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9.1
2020-08-28,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9.4
2020-09-28,Victoria,Percentage aged 15-64 on either JobSeeker or Youth Allowance,9.2
