postcode,april_application_count,may_application_count,june_application_count
3231,86,91,88
3232,112,114,116
3233,168,168,167
3234,16,19,20
3235,24,28,28
3236,12,16,17
3237,12,16,16
3238,19,19,19
3239,8,9,10
3240,83,91,94
3241,81,91,93
3242,34,39,41
3243,25,25,25
3249,78,91,92
3250,319,342,349
3251,15,15,15
3254,6,6,6
3260,116,123,125
3264,41,46,48
3265,35,39,41
3266,48,54,56
3267,5,5,5
3268,50,52,57
3269,53,56,57
3270,10,12,16
3271,6,6,6
3272,33,36,36
3273,7,9,10
3275,14,15,16
3277,35,40,43
3279,5,5,6
3280,932,1007,1027
3281,57,62,62
3282,53,61,62
3283,38,45,48
3284,170,178,183
3285,24,25,25
3286,8,9,13
3287,6,6,6
3289,9,13,14
3292,6,7,7
3293,8,7,9
3294,36,36,37
3300,265,287,291
3301,22,25,30
3302,6,6,7
3304,38,39,46
3305,306,324,336
3311,37,40,42
3312,15,18,20
3314,13,18,18
3315,16,15,19
3318,25,28,34
3319,7,8,9
3321,65,73,72
3324,18,19,21
3325,14,14,15
3328,30,34,34
3329,7,10,10
3330,5,6,5
3331,175,178,189
3332,31,34,35
3333,27,29,30
3334,18,18,20
3335,92,93,101
3336,335,348,343
3337,886,962,993
3338,568,594,613
3340,562,599,634
3341,56,60,63
3342,102,111,118
3345,32,35,37
3350,2125,2261,2300
3351,240,268,288
3352,574,612,624
3353,8,9,9
3355,350,374,386
3356,310,327,345
3357,98,105,108
3358,36,42,42
3360,22,23,21
3361,16,18,20
3363,97,105,107
3364,87,92,97
3370,49,53,57
3371,20,23,25
3373,63,78,79
3374,10,12,12
3375,9,14,14
3377,184,190,197
3378,6,6,6
3379,14,15,20
3380,125,137,147
3381,73,74,76
3384,16,16,18
3385,11,12,15
3387,6,7,8
3388,5,5,5
3390,7,10,10
3393,49,56,59
3395,6,6,6
3396,14,14,15
3400,348,358,377
3401,95,100,107
3402,7,8,8
3407,11,13,12
3409,18,20,20
3414,14,18,19
3418,61,65,64
3419,20,23,24
3420,5,6,8
3423,5,5,5
3424,10,11,13
3427,99,105,114
3428,35,36,37
3429,938,1016,1055
3430,10,10,10
3431,123,139,143
3432,9,10,9
3433,7,8,8
3434,150,162,171
3435,96,111,116
3437,397,424,440
3438,95,100,101
3440,91,96,98
3441,76,84,83
3442,326,346,359
3444,403,438,450
3446,37,41,43
3447,19,20,22
3448,33,40,41
3450,305,317,325
3451,181,188,194
3453,50,57,56
3458,97,98,100
3460,201,205,210
3461,225,239,239
3462,37,41,43
3463,84,89,98
3464,27,27,28
3465,228,244,246
3467,40,37,41
3468,6,7,8
3469,9,12,12
3472,29,30,31
3475,9,9,11
3477,17,19,20
3478,59,65,73
3480,37,42,47
3483,29,30,31
3485,5,6,5
3490,29,32,34
3494,12,14,16
3496,158,171,179
3498,179,196,206
3500,970,1029,1047
3501,74,85,90
3502,17,18,20
3505,117,123,131
3509,5,7,7
3512,7,7,8
3515,49,55,56
3516,13,15,16
3517,32,38,38
3518,16,23,21
3521,16,20,23
3522,9,9,9
3523,97,104,105
3525,28,34,39
3527,16,21,25
3530,6,8,9
3531,5,5,5
3533,17,18,24
3537,22,25,26
3540,8,11,14
3544,6,11,11
3546,11,13,17
3549,76,79,85
3550,1352,1455,1467
3551,755,821,834
3552,6,6,6
3555,421,443,458
3556,196,214,224
3557,15,14,15
3558,20,23,23
3559,16,18,19
3561,94,106,111
3562,17,16,15
3563,14,14,14
3564,664,697,713
3566,11,12,12
3567,11,13,15
3568,86,91,92
3570,15,18,18
3571,9,10,10
3573,7,9,9
3575,20,21,22
3579,172,188,206
3580,25,25,27
3583,7,9,11
3584,28,30,30
3585,409,457,485
3586,28,29,30
3588,7,9,12
3589,8,19,23
3590,7,9,9
3591,7,8,9
3594,10,10,11
3595,11,12,14
3597,17,21,22
3608,71,78,82
3610,34,37,41
3612,28,31,31
3614,30,33,32
3616,146,159,164
3618,7,8,8
3620,230,260,264
3621,40,43,46
3622,10,12,15
3623,19,21,23
3624,8,9,10
3629,163,180,181
3630,962,1045,1079
3631,435,480,506
3632,7,9,9
3633,24,25,24
3634,54,59,60
3635,21,21,25
3636,131,135,139
3637,19,21,20
3638,53,59,57
3639,15,15,14
3640,17,25,27
3641,33,38,40
3644,327,346,360
3646,25,29,30
3649,14,17,18
3658,161,171,175
3659,22,21,21
3660,186,190,199
3662,10,10,10
3663,6,6,6
3664,38,40,43
3665,14,16,17
3666,163,183,186
3669,33,33,37
3670,14,16,15
3671,5,6,6
3672,264,288,290
3673,50,55,58
3675,52,54,57
3676,8,9,9
3677,562,588,609
3678,206,230,246
3682,19,23,25
3683,34,37,39
3685,113,124,134
3687,21,21,22
3688,36,39,39
3690,822,887,927
3691,279,307,313
3695,13,17,19
3697,28,29,31
3698,50,49,52
3699,67,71,73
3700,36,41,41
3701,31,31,33
3707,40,49,55
3709,15,16,15
3711,29,29,30
3712,16,16,17
3713,32,36,36
3714,121,127,133
3715,9,11,12
3717,149,155,160
3718,5,5,5
3719,18,20,20
3720,27,29,30
3722,290,317,322
3723,136,146,151
3724,9,10,10
3725,14,18,18
3726,7,9,9
3727,10,11,11
3728,7,9,12
3730,303,317,327
3732,15,18,17
3733,19,20,20
3735,20,19,22
3737,164,188,193
3738,13,13,13
3739,13,14,14
3740,57,63,63
3741,252,263,261
3744,33,35,34
3746,6,5,7
3747,230,238,236
3749,60,67,70
3750,517,549,564
3751,12,11,11
3752,681,732,766
3753,82,92,93
3754,1115,1180,1212
3755,15,16,18
3756,328,347,356
3757,281,308,321
3758,70,74,75
3759,58,66,67
3760,22,24,26
3761,66,67,69
3762,8,8,8
3763,50,61,63
3764,262,277,281
3765,215,232,252
3766,47,50,53
3767,43,44,45
3770,177,187,198
3775,196,206,211
3777,526,571,571
3778,17,17,16
3779,33,33,34
3781,114,122,130
3782,279,304,314
3783,92,92,94
3786,46,48,51
3787,68,74,76
3788,105,110,114
3789,10,11,12
3791,69,77,82
3792,41,41,41
3793,167,181,187
3795,76,80,83
3796,360,397,419
3797,114,118,123
3799,182,183,187
3800,5,5,5
3802,758,813,849
3803,703,771,794
3804,395,413,428
3805,1722,1801,1861
3806,1658,1756,1802
3807,287,307,319
3808,147,162,166
3809,322,344,366
3810,1335,1450,1493
3812,97,112,115
3813,43,46,50
3814,79,87,88
3815,119,130,136
3816,74,86,88
3818,382,409,430
3820,581,639,661
3821,115,130,138
3822,22,23,24
3823,58,63,63
3824,93,103,106
3825,290,307,317
3831,58,66,67
3832,13,13,13
3833,11,12,13
3835,11,12,13
3840,301,325,345
3842,47,48,52
3844,722,756,777
3847,41,45,46
3850,429,464,474
3851,125,137,140
3853,7,8,8
3854,20,24,26
3856,13,15,16
3857,8,9,9
3858,67,73,75
3859,22,24,24
3860,173,187,193
3862,75,85,87
3864,6,7,6
3865,15,16,16
3869,32,35,34
3870,23,24,25
3871,74,79,85
3874,11,12,13
3875,607,651,655
3878,22,26,26
3880,110,115,117
3882,28,32,34
3885,57,65,64
3886,10,13,13
3887,10,10,11
3888,67,73,76
3889,7,6,7
3890,8,12,10
3891,7,8,6
3892,48,51,52
3895,6,8,8
3896,14,17,17
3898,34,38,38
3900,8,8,9
3902,9,9,9
3903,20,21,21
3904,51,51,53
3909,265,274,275
3910,612,637,666
3911,162,165,173
3912,575,625,657
3913,145,161,169
3915,294,326,338
3916,47,51,57
3918,115,122,132
3919,61,68,68
3921,5,5,6
3922,373,388,397
3923,29,32,32
3925,194,212,213
3926,166,180,175
3927,72,77,80
3928,40,39,41
3929,74,73,74
3930,817,864,898
3931,1300,1376,1414
3933,79,84,87
3934,762,816,826
3936,500,545,560
3937,119,127,127
3938,128,137,144
3939,534,573,585
3940,108,112,111
3941,611,662,690
3942,118,129,133
3943,121,123,130
3944,33,31,33
3945,40,39,40
3946,8,8,7
3950,120,134,137
3951,35,41,43
3953,224,244,254
3954,14,14,12
3956,71,77,83
3957,5,5,5
3958,6,8,9
