postcode,april_application_count,may_application_count,june_application_count
5275,61,69,74
5276,86,92,97
5277,74,80,81
5278,5,6,5
5280,159,172,190
5290,577,619,637
5291,174,186,190
5301,7,10,12
5302,15,15,19
5304,12,19,21
5307,13,12,16
5311,5,5,5
5320,19,19,19
5321,7,6,6
5322,14,17,19
5330,95,100,105
5331,10,11,11
5332,9,10,11
5333,164,181,186
5340,28,30,30
5341,185,193,197
5342,23,26,27
5343,145,142,148
5344,17,16,17
5345,48,56,61
5346,8,9,8
5350,13,14,14
5351,147,155,155
5352,258,273,274
5353,164,183,184
5354,7,8,11
5355,234,245,244
5356,25,26,28
5357,9,12,16
5360,51,57,56
5371,37,38,36
5372,39,40,42
5373,82,93,100
5374,49,62,65
5381,9,15,19
5400,17,17,17
5401,20,22,22
5410,6,7,7
5411,9,11,10
5412,18,22,24
5413,27,35,40
5414,7,8,9
5415,10,11,11
5416,6,8,9
5417,42,47,51
5418,6,6,6
5419,12,13,15
5422,35,38,41
5431,42,50,53
5432,11,13,13
5433,37,37,36
5434,33,32,34
5440,12,13,12
5451,44,49,47
5452,25,28,27
5453,248,272,272
5454,14,18,18
5460,14,15,18
5461,46,55,56
5462,17,23,23
5464,12,16,20
5470,6,6,7
5473,16,16,17
5480,18,22,22
5481,11,11,13
5482,29,33,36
5483,18,20,19
5485,23,25,25
5490,6,6,6
5491,55,61,67
5495,12,13,14
5501,153,173,189
5502,24,30,33
5520,9,14,14
5522,29,29,29
5523,38,41,39
5540,197,217,223
5550,17,21,21
5552,7,9,9
5554,111,125,127
5555,20,24,31
5556,96,102,102
5558,115,119,121
5560,14,17,20
5570,14,18,19
5571,48,60,61
5572,8,9,11
5573,50,54,54
5575,89,92,101
5576,34,39,45
5577,20,23,24
5580,8,9,9
5581,20,24,24
5582,16,17,15
5583,25,26,30
5600,125,131,134
5602,50,53,54
5603,33,39,39
5604,12,13,13
5605,41,53,57
5606,551,590,602
5607,167,197,208
5608,92,95,97
5609,19,19,20
5630,7,7,8
5631,44,49,49
5632,6,10,11
5633,23,24,25
5640,43,48,50
5641,39,52,53
5642,19,23,24
5650,8,10,10
5652,26,33,37
5654,11,14,14
5661,6,6,6
5670,28,30,30
5671,11,12,13
5680,110,117,125
5690,118,125,130
5700,158,169,171
5701,5,5,7
5710,15,18,20
5720,6,6,6
5723,52,50,48
5725,35,38,39
5730,15,16,17
5731,7,7,6
5732,10,10,10
5950,19,20,20
6000,2017,2123,2129
6003,328,333,337
6004,467,485,483
6005,996,1062,1081
6006,466,499,503
6007,598,630,634
6008,1338,1397,1409
6009,958,994,1007
6010,779,821,817
6011,530,542,545
6012,322,338,342
6014,840,869,875
6015,298,317,317
6016,437,467,478
6017,1095,1151,1169
6018,1238,1294,1303
6019,837,879,879
6020,855,893,892
6021,1043,1102,1122
6022,116,128,128
6023,514,542,541
6024,371,396,401
6025,978,1015,1034
6026,616,651,662
6027,1557,1642,1648
6028,740,785,798
6029,129,136,139
6030,1040,1075,1091
6031,389,410,412
6032,10,11,15
6033,40,41,39
6034,47,48,49
6035,206,220,220
6036,352,365,362
6037,96,101,101
6038,161,163,171
6041,25,30,29
6043,10,10,10
6044,59,57,56
6050,658,702,694
6051,419,443,440
6052,371,401,398
6053,627,662,671
6054,545,570,575
6055,704,729,751
6056,1036,1123,1151
6057,332,349,360
6058,265,277,275
6059,826,852,869
6060,732,758,747
6061,1152,1173,1167
6062,1110,1164,1187
6063,357,365,367
6064,768,813,834
6065,2464,2610,2657
6066,449,485,497
6068,5,5,5
6069,861,892,888
6070,131,135,130
6071,112,122,121
6072,23,25,27
6073,129,137,136
6074,23,24,28
6076,666,724,730
6077,101,116,122
6078,39,46,47
6081,125,139,143
6082,67,67,72
6083,100,110,114
6084,191,213,222
6090,718,793,798
6100,598,638,634
6101,612,643,650
6102,359,363,364
6103,296,312,308
6104,560,585,601
6105,480,510,524
6106,364,399,401
6107,1345,1402,1406
6108,504,533,542
6109,486,514,515
6110,895,947,957
6111,490,525,534
6112,1210,1275,1296
6121,120,134,135
6122,339,375,388
6123,37,40,40
6124,23,28,29
6125,89,100,113
6126,5,7,6
6147,335,354,375
6148,493,515,522
6149,514,535,540
6150,406,421,430
6151,750,799,808
6152,776,807,807
6153,938,987,987
6154,559,584,589
6155,1843,1947,1953
6156,558,602,597
6157,475,510,515
6158,345,371,370
6159,214,231,226
6160,824,857,863
6161,6,6,7
6162,521,562,558
6163,1979,2066,2090
6164,1610,1688,1701
6165,48,56,60
6166,378,413,410
6167,427,448,457
6168,512,548,553
6169,480,506,516
6170,218,220,219
6171,517,548,549
6172,249,256,257
6173,217,236,248
6174,72,79,84
6175,70,76,77
6176,49,50,51
6180,79,81,84
6181,11,11,12
6207,30,35,32
6208,202,212,214
6209,45,50,52
6210,1547,1639,1635
6211,157,160,159
6213,19,19,19
6214,11,12,16
6215,73,70,76
6218,7,8,10
6220,80,86,96
6221,8,9,9
6223,8,9,9
6224,29,31,31
6225,101,115,123
6226,14,15,14
6227,14,14,17
6228,5,5,5
6229,40,45,44
6230,1176,1237,1248
6231,13,15,17
6232,142,150,151
6233,291,301,310
6236,66,73,72
6237,68,77,74
6239,105,112,118
6244,83,93,103
6251,12,14,14
6252,8,8,7
6253,25,26,24
6254,6,8,10
6255,131,137,139
6256,14,13,13
6258,189,228,232
6260,75,83,90
6262,27,29,30
6271,77,83,78
6275,76,80,79
6280,1122,1179,1199
6281,571,619,633
6282,149,156,153
6284,131,142,140
6285,759,778,791
6286,49,52,50
6288,33,37,40
6290,91,95,93
6302,117,130,135
6304,49,56,60
6306,39,47,51
6308,53,58,63
6309,7,9,8
6311,23,23,24
6312,151,161,161
6313,6,6,7
6315,71,89,93
6316,13,20,23
6317,81,97,104
6318,12,15,18
6320,19,28,30
6321,15,24,25
6322,6,8,11
6323,22,27,26
6324,109,117,128
6326,24,32,32
6327,10,12,12
6328,16,19,20
6330,1077,1162,1203
6331,10,10,10
6332,6,5,5
6333,330,364,364
6335,34,41,44
6336,12,17,17
6337,23,25,28
6338,46,49,53
6341,13,14,16
6343,19,22,23
6346,34,38,41
6348,15,17,15
6350,15,16,19
6352,12,16,17
6353,51,56,66
6355,36,43,46
6356,10,10,10
6357,7,9,9
6358,11,13,15
6359,41,43,43
6361,7,9,8
6363,5,6,6
6365,21,22,28
6367,7,10,11
6369,43,48,50
6370,20,24,26
6372,7,8,8
6375,37,43,46
6383,26,31,32
6386,7,6,7
6390,14,16,19
6391,38,46,47
6392,26,30,33
6393,8,11,13
6394,10,11,10
6395,84,110,115
6396,15,19,20
6398,42,43,42
6401,181,211,218
6403,6,9,10
6405,9,11,12
6407,34,36,37
6409,20,22,24
6410,28,29,29
6411,16,17,17
6415,67,84,85
6418,41,44,45
6419,6,6,5
6420,9,11,11
6421,7,8,9
6423,5,5,5
6424,5,8,8
6425,11,12,12
6426,18,20,19
6430,449,468,449
6432,95,101,102
6438,7,9,10
6440,6,6,6
6442,7,10,11
6443,18,17,15
6445,15,17,19
6446,7,9,13
6447,12,14,12
6448,7,10,12
6450,413,462,488
6460,27,34,36
6461,29,35,40
6462,5,5,5
6468,18,18,23
6472,13,17,18
6473,5,6,6
6475,21,22,23
6477,16,17,20
6479,26,31,31
6485,25,28,29
6488,13,15,15
6490,6,6,6
6501,31,38,40
6502,38,39,36
6503,69,77,83
6504,6,6,7
6505,8,9,10
6507,26,26,28
6509,7,7,8
6510,57,64,69
6511,40,39,37
6512,8,8,7
6514,19,18,19
6515,27,30,36
6516,82,86,86
6517,20,20,23
6518,11,15,16
6519,21,23,24
6521,21,24,30
6522,19,21,21
6525,109,115,120
6528,18,18,17
6530,961,1008,1012
6531,16,18,18
6532,186,202,205
6535,59,63,63
6536,96,96,90
6537,43,43,41
6556,46,47,50
6558,19,21,21
6560,13,13,14
6562,17,22,26
6566,92,96,103
6567,5,6,6
6568,11,12,12
6569,14,15,16
6571,5,6,6
6575,13,17,17
6603,34,35,42
6606,12,17,16
6608,8,8,8
6609,29,32,32
6612,11,12,12
6613,6,7,7
6616,5,5,6
6620,13,16,15
6623,13,16,18
6630,17,20,22
6631,10,10,8
6638,10,11,11
6640,5,5,5
6642,17,17,17
6646,8,9,9
6701,167,179,179
6707,160,170,169
6710,5,6,6
6713,27,29,29
6714,214,218,219
6718,11,10,10
6720,10,11,14
6721,83,93,91
6722,86,89,94
6725,426,447,446
6726,128,125,128
6728,63,67,71
6740,17,18,17
6743,200,209,210
6751,28,31,31
6753,39,36,37
6754,7,8,8
6760,6,7,8
6765,22,23,24
6770,19,19,19
6798,45,48,50
6799,21,22,22
6865,6,6,7
6872,10,12,15
6901,6,6,6
6903,10,10,8
6904,9,11,11
6914,10,8,6
6916,6,6,6
6951,12,15,16
6959,7,7,7
6979,5,5,5
7000,1305,1354,1365
7001,14,14,13
7004,402,427,423
7005,467,482,487
7007,80,82,84
7008,313,328,329
7009,438,466,470
7010,347,359,356
7011,174,178,181
7012,13,14,13
7015,194,202,206
7016,21,20,21
7017,110,123,128
7018,496,523,531
7019,65,68,76
7020,85,88,86
7021,83,87,84
7022,29,28,29
7023,9,10,10
7024,20,23,24
7025,71,74,76
7026,14,13,13
7030,238,262,268
7050,364,388,390
7051,6,6,6
7052,176,183,185
7053,111,115,115
7054,265,280,282
7055,30,31,31
7109,260,275,282
7112,114,113,111
7113,30,32,32
7116,60,63,64
7117,36,36,37
7120,31,36,38
7140,171,188,194
7150,97,104,107
7155,33,33,34
7162,24,28,30
7163,16,16,15
7170,248,261,268
7171,69,73,73
7172,101,108,109
7173,167,170,174
7174,13,14,14
7175,9,11,11
7177,28,28,29
7178,7,7,7
7179,29,33,33
7180,10,10,10
7182,13,13,13
7184,25,25,28
7190,126,136,138
7209,23,23,24
7210,26,27,26
7211,5,5,5
7212,67,71,71
7213,8,9,9
7214,12,13,13
7215,174,179,179
7216,158,164,165
7248,340,352,356
7249,338,366,383
7250,1600,1705,1732
7252,64,69,70
7253,62,64,67
7254,19,19,19
7255,35,38,40
7256,61,66,72
7258,49,54,52
7259,8,7,8
7260,83,92,98
7261,13,14,15
7262,63,67,71
7263,5,6,7
7264,18,18,19
7267,12,14,15
7268,36,40,41
7270,78,87,89
7275,80,84,86
7276,15,16,16
7277,161,172,178
7290,43,46,48
7291,14,15,15
7292,20,21,22
7300,53,61,61
7301,115,120,120
7302,39,40,40
7303,62,66,67
7304,177,194,200
7305,24,25,25
7306,118,125,129
7307,226,242,244
7310,699,745,739
7315,321,334,332
7316,143,145,144
7320,394,412,412
7321,100,109,117
7322,58,59,61
7325,170,178,183
7330,157,170,179
7331,47,49,49
7467,23,24,25
7468,39,39,40
7469,8,8,9
9726,5,6,6
N/A as <5 applications for postcode or postcode not available,933,1034,1074
TOTAL,863798,911888,928864
