sa2_name,date,rate
Elsternwick,2019-12-01,2.7
Hughesdale,2019-12-01,4.1
Murrumbeena,2019-12-01,3.1
Ormond - Glen Huntly,2019-12-01,3.8
Bentleigh East (North),2019-12-01,NA
Bentleigh East (South),2019-12-01,NA
Aspendale Gardens - Waterways,2019-12-01,3.3
Carrum - Patterson Lakes,2019-12-01,5.9
Chelsea - Bonbeach,2019-12-01,6.8
Chelsea Heights,2019-12-01,6.7
Cheltenham - Highett (East),2019-12-01,4.9
Edithvale - Aspendale,2019-12-01,4.1
Mentone,2019-12-01,4.5
Moorabbin - Heatherton,2019-12-01,5.2
Mordialloc - Parkdale,2019-12-01,4.4
Malvern - Glen Iris,2019-12-01,2
Malvern East,2019-12-01,2.6
Bundoora - East,2019-12-01,3.9
Greensborough,2019-12-01,2.8
Heidelberg - Rosanna,2019-12-01,2.2
Heidelberg West,2019-12-01,7.8
Ivanhoe,2019-12-01,1.5
Ivanhoe East - Eaglemont,2019-12-01,1
Montmorency - Briar Hill,2019-12-01,2.8
Viewbank - Yallambie,2019-12-01,2.4
Watsonia,2019-12-01,4.1
Kingsbury,2019-12-01,2.5
Reservoir - East,2019-12-01,6.1
Reservoir - West,2019-12-01,5.2
Preston - East,2019-12-01,NA
Preston - West,2019-12-01,NA
Eltham,2019-12-01,1.7
Hurstbridge,2019-12-01,2.7
Kinglake,2019-12-01,3
Panton Hill - St Andrews,2019-12-01,2.6
Plenty - Yarrambat,2019-12-01,1.4
Research - North Warrandyte,2019-12-01,1.3
Wattle Glen - Diamond Creek,2019-12-01,1.8
Bundoora - North,2019-12-01,3
Bundoora - West,2019-12-01,4
Lalor,2019-12-01,8.6
Mill Park - North,2019-12-01,4.3
Mill Park - South,2019-12-01,5.4
Thomastown,2019-12-01,9.2
Wallan,2019-12-01,4.3
Whittlesea,2019-12-01,3.8
Doreen,2019-12-01,NA
Epping - East,2019-12-01,NA
Epping - South,2019-12-01,NA
Epping - West,2019-12-01,NA
Mernda,2019-12-01,NA
South Morang (North),2019-12-01,NA
South Morang (South),2019-12-01,NA
Wollert,2019-12-01,NA
Airport West,2019-12-01,4
Keilor,2019-12-01,2.9
Keilor East,2019-12-01,3.3
Niddrie - Essendon West,2019-12-01,2.3
Strathmore,2019-12-01,1.7
Gisborne,2019-12-01,1.7
Macedon,2019-12-01,1.6
Riddells Creek,2019-12-01,2.3
Romsey,2019-12-01,3.7
Coburg North,2019-12-01,4.8
Fawkner,2019-12-01,6.8
Pascoe Vale,2019-12-01,2.8
Glenroy,2019-12-01,NA
Gowanbrae,2019-12-01,NA
Hadfield,2019-12-01,NA
Sunbury,2019-12-01,3.9
Sunbury - South,2019-12-01,4.7
Broadmeadows,2019-12-01,20
Campbellfield - Coolaroo,2019-12-01,16
Gladstone Park - Westmeadows,2019-12-01,6.1
Greenvale - Bulla,2019-12-01,NA
Meadow Heights,2019-12-01,19.7
Melbourne Airport,2019-12-01,1.3
Roxburgh Park - Somerton,2019-12-01,13
Tullamarine,2019-12-01,7.8
Craigieburn - Central,2019-12-01,NA
Craigieburn - North,2019-12-01,NA
Craigieburn - South,2019-12-01,NA
Craigieburn - West,2019-12-01,NA
Mickleham - Yuroke,2019-12-01,NA
Bayswater,2019-12-01,4.4
Knoxfield - Scoresby,2019-12-01,2.5
Lysterfield,2019-12-01,1.2
Rowville - Central,2019-12-01,2.2
Rowville - North,2019-12-01,2.1
Rowville - South,2019-12-01,1.7
Wantirna,2019-12-01,2.6
Wantirna South,2019-12-01,2.3
Boronia,2019-12-01,NA
Ferntree Gully (North),2019-12-01,NA
Ferntree Gully (South) - Upper Ferntree Gully,2019-12-01,NA
The Basin,2019-12-01,NA
Donvale - Park Orchards,2019-12-01,1.5
Warrandyte - Wonga Park,2019-12-01,1
Bayswater North,2019-12-01,3.7
Croydon Hills - Warranwood,2019-12-01,1.7
Ringwood,2019-12-01,5.1
Ringwood East,2019-12-01,4
Ringwood North,2019-12-01,1.5
Croydon - East,2019-12-01,NA
Croydon - West,2019-12-01,NA
Croydon South,2019-12-01,NA
Forest Hill,2019-12-01,2.9
Mitcham (Vic.),2019-12-01,2.1
Nunawading,2019-12-01,2.4
Vermont,2019-12-01,1.8
Vermont South,2019-12-01,1.6
Belgrave - Selby,2019-12-01,2.8
Chirnside Park,2019-12-01,2.8
Healesville - Yarra Glen,2019-12-01,3.5
Kilsyth,2019-12-01,4
Lilydale - Coldstream,2019-12-01,3.5
Monbulk - Silvan,2019-12-01,2.3
Montrose,2019-12-01,2.5
Mooroolbark,2019-12-01,4.1
Mount Dandenong - Olinda,2019-12-01,2.1
Mount Evelyn,2019-12-01,2.7
Upwey - Tecoma,2019-12-01,2.6
Wandin - Seville,2019-12-01,2.3
Yarra Valley,2019-12-01,5.3
Beaconsfield - Officer,2019-12-01,4.3
Bunyip - Garfield,2019-12-01,4.2
Emerald - Cockatoo,2019-12-01,3.2
Koo Wee Rup,2019-12-01,5.2
Pakenham - North,2019-12-01,7.6
Pakenham - South,2019-12-01,8.7
Berwick - North,2019-12-01,3.7
Berwick - South,2019-12-01,3.8
Doveton,2019-12-01,15.4
Hallam,2019-12-01,10.2
Narre Warren North,2019-12-01,2.1
Endeavour Hills - North,2019-12-01,NA
Endeavour Hills - South,2019-12-01,NA
Narre Warren - North East,2019-12-01,NA
Narre Warren - South West,2019-12-01,NA
Cranbourne,2019-12-01,12.1
Cranbourne East,2019-12-01,5.3
Cranbourne North,2019-12-01,6.4
Cranbourne South,2019-12-01,3.8
Cranbourne West,2019-12-01,7
Hampton Park - Lynbrook,2019-12-01,10.1
Lynbrook - Lyndhurst,2019-12-01,4
Pearcedale - Tooradin,2019-12-01,4.2
Narre Warren South (East),2019-12-01,NA
Narre Warren South (West),2019-12-01,NA
Clarinda - Oakleigh South,2019-12-01,4.4
Clayton South,2019-12-01,3.9
Dandenong,2019-12-01,15.5
Dandenong North,2019-12-01,9.7
Dingley Village,2019-12-01,2.6
Keysborough,2019-12-01,4.3
Noble Park North,2019-12-01,8.1
Springvale,2019-12-01,8.1
Springvale South,2019-12-01,7.9
Noble Park - East,2019-12-01,NA
Noble Park - West,2019-12-01,NA
Ashwood - Chadstone,2019-12-01,4
Clayton,2019-12-01,2.8
Glen Waverley - East,2019-12-01,2.5
Glen Waverley - West,2019-12-01,2.5
Mount Waverley - North,2019-12-01,2.1
Mount Waverley - South,2019-12-01,2.3
Mulgrave,2019-12-01,3.3
Oakleigh - Huntingdale,2019-12-01,3.6
Wheelers Hill,2019-12-01,1.8
Ardeer - Albion,2019-12-01,8.6
Cairnlea,2019-12-01,5.5
Deer Park - Derrimut,2019-12-01,7.8
Delahey,2019-12-01,8
Keilor Downs,2019-12-01,6.8
Kings Park (Vic.),2019-12-01,11.6
St Albans - North,2019-12-01,12.4
St Albans - South,2019-12-01,11.3
Sunshine,2019-12-01,8.9
Sunshine North,2019-12-01,10.8
Sunshine West,2019-12-01,10.2
Sydenham,2019-12-01,5.4
Taylors Lakes,2019-12-01,3
Altona,2019-12-01,3.4
Altona Meadows,2019-12-01,5.2
Altona North,2019-12-01,6.3
Newport,2019-12-01,2.9
Seabrook,2019-12-01,3.9
Williamstown,2019-12-01,2.5
Braybrook,2019-12-01,7.9
Footscray,2019-12-01,6.5
